epoch,auc,bin_acc,learning_rate,loss,precision,recall,val_auc,val_bin_acc,val_loss,val_precision,val_recall
0,0.49381184577941895,0.4939285218715668,9.999999747378752e-05,0.3814113438129425,0.2247685194015503,0.518419623374939,0.5080914497375488,0.3999999761581421,0.38314852118492126,0.23499999940395355,0.6351351141929626
1,0.48851847648620605,0.4958333373069763,9.999999747378752e-05,0.369925856590271,0.21665066480636597,0.4821142554283142,0.5007553696632385,0.6888889670372009,0.37364742159843445,0.30666667222976685,0.20720720291137695
2,0.491315096616745,0.5264285802841187,9.999999747378752e-05,0.36094924807548523,0.22280748188495636,0.45168179273605347,0.496709942817688,0.48944443464279175,0.36570969223976135,0.23224352300167084,0.46396395564079285
3,0.48574838042259216,0.46642860770225525,9.999999747378752e-05,0.3537232577800751,0.21548527479171753,0.5274959802627563,0.4977811872959137,0.3933333158493042,0.35859501361846924,0.22909699380397797,0.6171171069145203
4,0.49237504601478577,0.4960715174674988,9.999999747378752e-05,0.3469218611717224,0.2222222238779068,0.5040042996406555,0.4957951009273529,0.5233333110809326,0.3527505695819855,0.27000001072883606,0.5472972989082336
5,0.4975440800189972,0.45559531450271606,9.999999747378752e-05,0.34111475944519043,0.22084367275238037,0.5702082514762878,0.4960441291332245,0.4883332848548889,0.3474866449832916,0.23529411852359772,0.477477490901947
6,0.4961099624633789,0.5079762935638428,9.999999747378752e-05,0.3361469805240631,0.2194637507200241,0.4719701111316681,0.4985107481479645,0.3999999761581421,0.34290507435798645,0.23499999940395355,0.6351351141929626
7,0.5056356191635132,0.5077380537986755,9.999999747378752e-05,0.33172664046287537,0.22707529366016388,0.5024025440216064,0.5019331574440002,0.42888885736465454,0.33865371346473694,0.2566666603088379,0.6936936974525452
8,0.5014405250549316,0.47095242142677307,9.999999747378752e-05,0.32759910821914673,0.2239639312028885,0.556860625743866,0.5020396113395691,0.5361111164093018,0.3348954916000366,0.2830188572406769,0.5743243098258972
9,0.4913500249385834,0.47428572177886963,9.999999747378752e-05,0.32417282462120056,0.21548445522785187,0.5141484141349792,0.5,0.5655555129051208,0.33147895336151123,0.21833333373069763,0.29504504799842834
10,0.4997170865535736,0.4719047248363495,9.999999747378752e-05,0.32057225704193115,0.21591664850711823,0.520021378993988,0.5,0.5522221922874451,0.32822760939598083,0.19833333790302277,0.2680180072784424
11,0.5039315223693848,0.5320239067077637,9.999999747378752e-05,0.3173604905605316,0.22618414461612701,0.4538173973560333,0.5,0.5566666126251221,0.32536375522613525,0.20499999821186066,0.27702704071998596
12,0.5043146014213562,0.498452365398407,9.999999747378752e-05,0.3145425021648407,0.21996170282363892,0.49065670371055603,0.5023749470710754,0.6733334064483643,0.3225492238998413,0.25999999046325684,0.1756756752729416
13,0.4961267411708832,0.5307142734527588,9.999999747378752e-05,0.3119692802429199,0.21524910628795624,0.4175119996070862,0.5011904835700989,0.5077778100967407,0.3198012113571167,0.2544444501399994,0.5157657861709595
14,0.4942306578159332,0.508809506893158,9.999999747378752e-05,0.3094700872898102,0.22355827689170837,0.4863854646682739,0.5021870732307434,0.3111111521720886,0.31734082102775574,0.23466666042804718,0.792792797088623
15,0.49257683753967285,0.4969047009944916,9.999999747378752e-05,0.3071506917476654,0.22021402418613434,0.4943940341472626,0.49940165877342224,0.30944445729255676,0.31505918502807617,0.24242424964904785,0.8468468189239502
16,0.48811307549476624,0.43619048595428467,9.999999747378752e-05,0.304964542388916,0.21947874128818512,0.5979711413383484,0.4977656304836273,0.46444442868232727,0.31301185488700867,0.22457626461982727,0.477477490901947
17,0.4936159551143646,0.5129762291908264,9.999999747378752e-05,0.30289414525032043,0.2241293489933014,0.4810464382171631,0.5030538439750671,0.4933333694934845,0.3111559748649597,0.23999999463558197,0.4864864945411682
18,0.504258930683136,0.5169045925140381,9.999999747378752e-05,0.3008197844028473,0.22789539396762848,0.48852109909057617,0.502169132232666,0.430555522441864,0.30931466817855835,0.2573099434375763,0.6936936974525452
19,0.4922039210796356,0.5394046306610107,9.999999747378752e-05,0.2994006872177124,0.2210732251405716,0.42231714725494385,0.5016562938690186,0.5077778100967407,0.30770429968833923,0.2544444501399994,0.5157657861709595
20,0.49198541045188904,0.4804762005805969,9.999999747378752e-05,0.297619491815567,0.21308454871177673,0.493860125541687,0.5,0.47222229838371277,0.30605584383010864,0.21888889372348785,0.44369369745254517
